Location,FIPS,Diabetes_Prevalence_Both_Sexes,Male_Obesity_%,Female_Obesity_%,life_expectancy,mortality_risk_0-5,mortality_risk_5-25,mortality_risk_25-45,mortality_risk_45-65,mortality_risk_65-85,tubercolosis_mortality,AIDS_mortality,diarrheal_mortality,lower_respiratory_mortality,meningitis_mortality,hepatitis_mortality,other_resp_mortality,interstitial_lung_mortality,asthma_mortality,other_pneumoconiosis_mortality,coal_pneumoconiosis_mortality,asbestosis_mortality,silicosis_mortality,pneumoconiosis_mortality,COPD_mortality,chronic_respiratory_mortality
Atchison County,29005,12.92,37.85,37.61,78.39,0.56,0.81,2.72,12.48,52.16,0.09,0.42,1.56,31.36,0.35,0.12,0.89,4.77,1.82,0.24,0.01,0.06,0.01,0.32,63.03,70.82
Audrain County,29007,14.98,37.8,42.72,77.47,0.68,0.95,2.85,13.73,53.88,0.14,0.52,3.08,25.13,0.43,0.18,0.94,5.99,1.21,0.26,0.02,0.08,0.53,0.88,86.96,95.98
Barry County,29009,14.71,36.64,35.61,76.95,0.8,1.11,3.43,14.11,54.0,0.21,0.7,3.5,31.86,0.47,0.27,0.79,4.97,1.04,0.26,0.02,0.1,0.01,0.4,56.38,63.59
Barton County,29011,14.2,37.9,39.71,77.97,0.7,0.95,2.93,13.26,51.21,0.15,0.58,3.31,41.84,0.48,0.23,0.87,5.32,1.26,0.31,0.04,0.13,0.03,0.5,49.33,57.28
Bates County,29013,14.4,39.68,41.42,76.84,0.78,1.1,3.2,14.26,54.3,0.13,0.41,2.7,27.46,0.42,0.17,0.92,4.21,0.92,0.3,0.04,0.12,0.02,0.47,63.72,70.24
Benton County,29015,14.57,38.83,39.62,76.58,0.79,1.09,3.61,14.54,54.63,0.16,0.68,2.61,27.12,0.44,0.22,1.05,4.69,1.43,0.25,0.02,0.06,0.01,0.34,71.15,78.66
Bollinger County,29017,14.79,40.35,39.97,76.52,0.79,1.1,3.37,14.48,56.3,0.1,0.43,2.57,26.69,0.4,0.19,1.01,4.61,1.08,0.28,0.03,0.18,0.04,0.52,66.27,73.49
Boone County,29019,12.19,31.7,32.06,79.82,0.56,0.51,2.21,10.68,48.2,0.19,0.8,2.58,22.74,0.42,0.21,0.8,6.02,1.15,0.2,0.01,0.06,0.05,0.31,44.47,52.75
Buchanan County,29021,14.77,40.97,43.37,76.56,0.71,0.85,2.93,15.31,56.77,0.2,1.08,2.74,24.59,0.46,0.23,1.04,6.74,1.35,0.25,0.01,0.1,0.02,0.38,86.17,95.68
Butler County,29023,14.41,38.63,43.41,74.24,0.98,1.25,4.35,18.09,60.72,0.21,0.89,3.42,47.44,0.52,0.32,1.12,5.16,1.24,0.27,0.01,0.07,0.01,0.37,76.94,84.83
Caldwell County,29025,14.15,38.48,38.49,77.47,0.68,1.09,3.19,13.63,52.71,0.13,0.61,3.54,32.79,0.41,0.2,0.93,5.46,1.23,0.27,0.03,0.13,0.03,0.46,66.97,75.05
Callaway County,29027,13.86,36.78,40.17,77.89,0.69,0.84,2.92,13.15,52.13,0.12,0.52,2.69,29.16,0.43,0.21,0.82,5.39,0.98,0.23,0.02,0.06,0.04,0.35,63.64,71.18
Camden County,29029,13.42,35.72,33.92,78.79,0.67,1.03,3.12,11.0,49.08,0.13,0.46,2.8,24.5,0.44,0.18,0.89,4.82,1.22,0.23,0.02,0.06,0.01,0.31,50.23,57.47
Cape Girardeau County,29031,13.17,36.15,34.71,78.57,0.64,0.67,2.55,11.52,52.88,0.14,0.72,2.1,26.66,0.4,0.19,0.8,5.16,1.07,0.25,0.02,0.12,0.02,0.4,52.37,59.79
Carroll County,29033,14.42,38.18,39.19,77.36,0.72,1.07,3.15,13.98,52.63,0.1,0.47,2.64,33.9,0.4,0.18,0.9,5.19,1.24,0.28,0.03,0.07,0.02,0.4,51.04,58.78
Carter County,29035,15.33,39.8,43.19,73.92,1.07,1.57,4.59,17.53,61.13,0.14,0.6,3.82,46.52,0.5,0.29,1.15,4.75,1.19,0.33,0.03,0.14,0.02,0.51,93.11,100.72
Cass County,29037,13.62,38.12,41.53,78.41,0.58,0.87,2.54,11.71,52.97,0.12,0.46,2.29,27.3,0.37,0.18,0.86,5.29,0.92,0.24,0.02,0.12,0.01,0.4,61.68,69.15
Cedar County,29039,14.77,36.61,40.8,76.71,0.85,1.14,3.45,14.17,54.85,0.16,0.62,2.71,49.37,0.47,0.22,1.02,4.78,1.37,0.31,0.02,0.08,0.02,0.43,62.23,69.82
Chariton County,29041,14.41,38.38,39.9,78.69,0.62,0.86,2.65,12.18,49.69,0.11,0.39,2.51,26.67,0.36,0.15,0.83,5.11,1.04,0.28,0.03,0.06,0.03,0.4,48.57,55.95
Christian County,29043,13.22,35.19,32.05,79.26,0.54,0.83,2.38,10.61,50.52,0.15,0.51,2.8,24.01,0.36,0.21,0.76,5.09,0.86,0.24,0.01,0.07,0.01,0.33,49.73,56.78
Clark County,29045,13.88,37.3,36.43,77.3,0.66,0.96,3.0,13.77,54.78,0.12,0.42,1.81,40.04,0.37,0.12,0.89,4.46,1.13,0.23,0.03,0.08,0.02,0.36,80.36,87.19
Clay County,29047,14.68,36.21,38.69,79.12,0.5,0.72,2.17,10.98,51.86,0.18,0.77,4.41,23.17,0.4,0.21,0.87,5.8,1.2,0.22,0.03,0.13,0.02,0.4,58.1,66.37
Clinton County,29049,13.6,39.21,41.04,76.44,0.7,1.07,3.23,14.17,58.43,0.11,0.58,3.98,29.93,0.42,0.19,1.01,5.55,1.27,0.23,0.02,0.1,0.02,0.37,93.02,101.23
Cole County,29051,13.43,35.96,33.75,78.64,0.62,0.79,2.35,11.86,52.24,0.15,0.58,2.59,27.31,0.41,0.2,0.82,5.66,0.96,0.22,0.01,0.04,0.02,0.29,59.06,66.8
Cooper County,29053,14.19,37.62,38.62,77.93,0.66,0.87,2.89,13.2,51.84,0.12,0.51,2.47,26.06,0.43,0.18,0.86,5.14,1.31,0.24,0.01,0.04,0.02,0.31,50.26,57.89
Crawford County,29055,14.89,41.35,41.88,76.01,0.78,1.14,3.57,15.63,57.2,0.16,0.77,2.99,41.75,0.45,0.21,0.93,4.36,1.03,0.26,0.02,0.22,0.04,0.53,50.99,57.84
Dade County,29057,14.25,37.75,39.38,76.96,0.75,1.04,3.35,13.77,54.77,0.13,0.51,2.71,28.88,0.43,0.29,0.93,4.64,1.28,0.29,0.02,0.08,0.02,0.41,60.24,67.51
Dallas County,29059,14.81,40.25,41.27,76.95,0.85,1.12,3.36,13.67,54.05,0.12,0.45,3.04,32.67,0.45,0.24,0.99,5.2,1.19,0.28,0.02,0.08,0.02,0.39,65.56,73.33
Daviess County,29061,13.97,38.13,37.24,77.54,0.7,0.94,3.02,12.98,53.93,0.11,0.48,2.78,24.11,0.4,0.18,0.95,5.34,1.14,0.25,0.03,0.09,0.02,0.39,67.55,75.37
DeKalb County,29063,15.0,39.2,40.91,78.55,0.56,0.75,2.39,12.56,51.14,0.14,0.64,3.67,27.72,0.44,0.19,1.01,5.41,1.34,0.26,0.02,0.08,0.02,0.38,71.4,79.54
Dent County,29065,14.62,39.98,40.4,76.0,0.83,1.27,3.78,15.15,56.29,0.12,0.63,3.22,31.76,0.47,0.23,1.0,4.09,1.17,0.27,0.01,0.09,0.02,0.39,70.78,77.44
Douglas County,29067,14.94,39.02,40.95,77.57,0.78,1.14,3.26,12.86,52.07,0.13,0.52,2.99,24.17,0.44,0.23,0.99,4.85,1.15,0.29,0.03,0.14,0.03,0.49,71.28,78.76
Dunklin County,29069,16.19,44.53,47.58,72.62,1.1,1.49,5.04,20.88,63.94,0.29,1.38,3.02,44.11,0.58,0.3,1.18,6.0,1.63,0.3,0.01,0.07,0.01,0.39,104.74,113.95
Franklin County,29071,13.74,40.04,37.3,77.44,0.61,1.04,3.02,12.96,54.99,0.11,0.53,3.79,29.14,0.36,0.15,0.88,5.04,0.93,0.23,0.01,0.27,0.04,0.54,57.67,65.06
Gasconade County,29073,14.0,38.79,37.94,77.55,0.74,1.04,3.13,13.36,52.88,0.12,0.58,3.12,28.3,0.42,0.19,0.9,5.12,1.03,0.26,0.01,0.14,0.03,0.45,51.25,58.75
Gentry County,29075,13.39,37.01,38.14,78.35,0.58,0.83,2.69,12.41,51.67,0.11,0.42,1.99,20.92,0.34,0.14,0.94,5.26,1.31,0.25,0.02,0.08,0.01,0.37,70.19,78.08
Greene County,29077,13.1,34.96,35.34,78.13,0.63,0.66,3.1,13.17,50.99,0.24,2.36,3.73,25.69,0.5,0.59,0.87,5.27,1.06,0.22,0.01,0.05,0.01,0.29,54.82,62.31
Grundy County,29079,13.95,37.78,37.55,77.67,0.63,0.89,2.93,13.11,53.79,0.11,0.52,2.2,27.87,0.38,0.19,0.81,4.68,1.23,0.23,0.02,0.07,0.01,0.34,57.54,64.6
Harrison County,29081,13.95,38.79,37.66,78.48,0.61,0.94,2.86,12.36,49.83,0.12,0.47,2.58,22.96,0.36,0.14,0.87,4.82,1.0,0.23,0.08,0.1,0.02,0.43,59.56,66.68
Henry County,29083,13.9,38.56,39.87,76.35,0.76,1.05,3.49,15.07,56.06,0.12,0.52,2.3,26.94,0.43,0.2,1.04,4.29,1.2,0.28,0.2,0.12,0.03,0.65,65.39,72.57
Hickory County,29085,14.93,38.51,40.17,77.25,0.83,1.13,3.46,13.67,51.48,0.15,0.79,2.8,26.26,0.47,0.21,1.02,4.53,1.36,0.25,0.02,0.08,0.02,0.37,58.68,65.96
Holt County,29087,13.37,36.22,37.17,79.17,0.56,0.76,2.54,11.64,48.91,0.1,0.37,1.83,26.92,0.35,0.11,0.91,4.88,1.73,0.27,0.01,0.08,0.02,0.38,63.73,71.63
Howard County,29089,14.15,39.51,38.75,78.61,0.61,0.8,2.7,12.47,49.72,0.1,0.41,2.82,25.27,0.38,0.17,0.85,5.06,0.98,0.23,0.02,0.05,0.03,0.32,44.4,51.62
Howell County,29091,13.81,36.92,38.15,75.78,0.86,1.24,3.87,15.22,57.53,0.13,0.62,3.5,31.52,0.51,0.28,0.91,4.03,0.99,0.27,0.02,0.07,0.01,0.37,70.69,76.99
Iron County,29093,15.13,40.78,43.24,72.72,1.06,1.6,4.83,20.02,65.81,0.11,0.6,3.45,46.06,0.5,0.25,1.13,4.76,1.44,0.29,0.01,0.16,0.02,0.48,105.85,113.66
Jackson County,29095,15.71,35.94,42.87,77.19,0.74,1.06,3.42,14.17,52.15,0.28,2.82,3.42,27.49,0.53,0.35,1.03,5.66,1.45,0.24,0.02,0.08,0.01,0.36,53.93,62.42
Jasper County,29097,14.55,37.74,39.9,76.09,0.69,0.95,3.37,15.92,57.54,0.24,0.91,2.71,47.74,0.48,0.29,0.77,5.98,1.19,0.25,0.04,0.15,0.02,0.47,72.61,81.01
Jefferson County,29099,14.07,41.21,36.54,76.65,0.58,0.96,2.78,13.71,60.2,0.14,0.54,4.18,36.65,0.39,0.17,0.8,5.94,0.74,0.21,0.01,0.11,0.02,0.36,71.33,79.17
Johnson County,29101,13.8,37.68,40.97,78.26,0.57,0.63,2.54,12.19,54.3,0.12,0.42,2.66,25.82,0.37,0.18,0.94,4.54,1.11,0.24,0.03,0.07,0.01,0.36,57.73,64.67
Knox County,29103,14.07,35.58,38.44,77.44,0.65,0.99,3.02,13.33,54.17,0.1,0.35,1.7,35.69,0.38,0.12,0.96,4.75,1.16,0.25,0.05,0.09,0.03,0.42,69.58,76.87
Laclede County,29105,14.7,38.94,39.35,76.29,0.83,1.17,3.27,14.88,57.07,0.15,0.71,3.97,37.8,0.53,0.21,0.97,5.11,1.11,0.3,0.02,0.08,0.01,0.41,67.89,75.47
Lafayette County,29107,14.24,37.0,38.9,77.46,0.67,0.94,2.98,13.66,53.84,0.14,0.8,3.28,24.05,0.41,0.23,0.88,4.47,1.19,0.26,0.06,0.08,0.02,0.41,61.35,68.3
Lawrence County,29109,14.5,37.81,37.19,76.84,0.73,1.12,3.28,14.1,55.11,0.21,0.74,3.9,38.52,0.49,0.26,0.85,4.78,0.98,0.25,0.01,0.07,0.01,0.35,65.57,72.53
Lewis County,29111,14.18,36.89,38.24,77.49,0.64,0.92,2.98,13.49,53.8,0.13,0.53,1.63,27.79,0.37,0.13,0.87,3.95,1.16,0.22,0.02,0.07,0.02,0.33,53.04,59.35
Lincoln County,29113,14.49,40.6,40.31,77.32,0.67,1.0,2.91,13.53,54.88,0.1,0.45,3.86,34.63,0.39,0.14,0.86,4.45,0.98,0.22,0.02,0.11,0.05,0.4,53.0,59.69
Linn County,29115,14.21,35.59,37.91,76.94,0.76,1.03,3.19,14.25,54.63,0.11,0.5,2.04,24.47,0.4,0.16,0.89,4.59,1.3,0.25,0.03,0.08,0.02,0.38,69.93,77.09
Livingston County,29117,14.19,36.99,36.87,77.92,0.67,0.9,2.77,13.08,52.38,0.12,0.47,2.78,30.89,0.39,0.18,0.85,4.99,1.09,0.25,0.02,0.07,0.03,0.37,63.89,71.19
McDonald County,29119,15.72,37.55,42.09,74.75,0.94,1.36,4.16,16.35,60.28,0.24,0.8,3.17,49.79,0.57,0.32,0.88,5.09,1.02,0.24,0.03,0.18,0.03,0.47,74.39,81.86
Macon County,29121,14.16,36.01,39.89,77.49,0.69,1.01,2.98,13.0,54.0,0.12,0.45,2.26,34.71,0.4,0.16,0.88,4.61,1.41,0.24,0.39,0.1,0.06,0.79,54.73,62.42
Madison County,29123,14.94,40.61,42.36,74.89,0.94,1.26,3.93,17.36,58.88,0.12,0.57,3.51,31.9,0.46,0.25,1.03,4.73,1.18,0.27,0.02,0.1,0.02,0.42,75.66,83.02
Maries County,29125,14.15,39.85,41.06,77.46,0.68,1.02,3.03,13.51,53.35,0.11,0.43,2.37,30.5,0.38,0.15,0.92,4.83,1.14,0.25,0.02,0.09,0.02,0.38,53.89,61.16
Marion County,29127,13.78,36.3,38.21,77.03,0.75,0.96,3.01,14.22,54.73,0.16,0.72,2.14,36.71,0.44,0.17,0.91,5.84,1.5,0.24,0.02,0.1,0.03,0.38,70.94,79.57
Mercer County,29129,13.78,37.22,36.42,78.92,0.63,0.86,2.63,12.25,47.68,0.1,0.39,1.71,28.82,0.35,0.15,0.85,4.44,1.05,0.19,0.08,0.14,0.02,0.44,53.91,60.68
Miller County,29131,14.44,39.11,38.57,76.61,0.74,1.09,3.39,14.59,55.29,0.13,0.56,2.77,24.89,0.43,0.19,0.95,5.46,1.21,0.24,0.02,0.06,0.02,0.35,66.52,74.48
Mississippi County,29133,17.55,43.75,48.68,73.66,1.0,1.4,4.4,18.53,63.03,0.26,1.3,2.66,30.37,0.56,0.24,1.14,5.51,1.65,0.3,0.03,0.08,0.02,0.43,69.02,77.75
Moniteau County,29135,14.03,39.76,37.96,78.16,0.65,0.88,2.66,12.43,52.93,0.15,0.55,2.38,16.51,0.38,0.17,0.88,4.78,1.05,0.24,0.01,0.05,0.04,0.35,62.22,69.29
Monroe County,29137,14.27,37.18,39.0,78.35,0.64,0.98,2.95,11.91,51.62,0.1,0.37,2.23,44.32,0.36,0.14,0.86,5.47,1.33,0.25,0.04,0.1,0.13,0.53,56.24,64.43
Montgomery County,29139,14.57,39.7,41.68,76.81,0.72,1.11,3.34,14.45,54.56,0.11,0.55,3.06,28.47,0.38,0.15,0.96,5.28,1.18,0.26,0.02,0.12,0.12,0.51,70.18,78.12
Morgan County,29141,14.86,37.36,39.49,76.01,0.8,1.18,3.84,15.05,56.42,0.13,0.59,2.78,30.36,0.44,0.18,1.08,5.24,1.22,0.24,0.02,0.05,0.02,0.33,64.3,72.17
New Madrid County,29143,16.83,43.21,44.49,73.8,1.13,1.4,4.56,19.0,60.12,0.21,0.96,3.12,42.71,0.57,0.22,1.08,5.72,1.6,0.31,0.02,0.07,0.01,0.4,77.57,86.36
Newton County,29145,14.51,35.07,40.26,77.17,0.77,1.05,3.2,13.24,54.65,0.25,0.61,3.49,46.48,0.46,0.22,0.75,5.14,0.93,0.26,0.03,0.18,0.03,0.49,59.47,66.79
Nodaway County,29147,13.21,35.67,38.95,79.88,0.52,0.56,2.26,10.64,47.71,0.11,0.46,1.7,28.0,0.35,0.15,0.9,5.37,1.65,0.22,0.01,0.08,0.01,0.33,52.82,61.06
Oregon County,29149,15.36,40.57,41.15,76.08,0.9,1.28,3.69,15.12,55.69,0.17,0.78,2.98,36.37,0.48,0.24,1.04,4.12,0.96,0.31,0.03,0.1,0.01,0.45,56.95,63.53
Osage County,29151,13.71,35.96,36.6,78.77,0.64,0.9,2.62,11.49,50.53,0.09,0.4,2.69,31.46,0.37,0.15,0.79,4.77,0.9,0.22,0.01,0.1,0.03,0.36,48.78,55.6
Ozark County,29153,14.59,39.11,39.38,76.11,0.93,1.33,3.95,15.39,54.26,0.12,0.53,3.09,41.75,0.48,0.26,0.98,4.69,1.1,0.29,0.11,0.25,0.03,0.68,61.43,68.89
Pemiscot County,29155,17.77,44.2,50.21,72.04,1.34,1.71,5.61,21.73,62.5,0.31,1.78,2.82,34.51,0.65,0.32,1.12,5.44,1.8,0.28,0.01,0.06,0.01,0.36,73.87,82.6
Perry County,29157,13.66,38.79,39.25,78.63,0.62,0.94,2.74,11.96,50.25,0.09,0.43,2.49,21.24,0.35,0.15,0.84,4.88,1.0,0.26,0.02,0.12,0.02,0.43,46.26,53.4
Pettis County,29159,14.89,37.13,41.33,78.05,0.64,0.82,2.82,13.1,51.74,0.15,0.55,2.4,30.35,0.42,0.21,0.87,5.56,1.37,0.26,0.02,0.05,0.02,0.35,60.28,68.44
Phelps County,29161,13.94,35.92,37.53,77.26,0.65,0.83,3.02,13.75,55.07,0.14,0.57,2.66,40.36,0.43,0.2,0.87,4.42,1.24,0.25,0.01,0.11,0.02,0.4,62.15,69.07
Pike County,29163,15.06,40.16,42.91,77.26,0.7,0.99,3.09,13.71,54.17,0.12,0.44,2.82,29.53,0.42,0.17,1.02,5.55,1.25,0.26,0.02,0.09,0.05,0.42,72.47,80.72
Platte County,29165,12.91,34.86,36.33,80.39,0.48,0.66,1.99,9.3,47.59,0.16,0.67,3.83,18.74,0.36,0.14,0.73,6.8,0.98,0.23,0.01,0.07,0.01,0.32,51.61,60.45
Polk County,29167,14.22,38.91,42.27,76.57,0.78,1.04,3.57,14.38,55.41,0.17,0.63,2.92,32.04,0.47,0.22,0.94,5.29,1.18,0.26,0.01,0.05,0.01,0.34,66.26,74.02
Pulaski County,29169,15.66,36.79,37.76,76.26,0.79,0.79,2.83,15.15,59.44,0.19,0.65,3.16,40.68,0.5,0.18,0.84,5.12,1.34,0.23,0.01,0.05,0.01,0.3,69.65,77.25
Putnam County,29171,13.89,36.59,37.88,77.73,0.64,0.9,2.97,12.89,53.88,0.09,0.36,1.68,27.59,0.36,0.15,0.9,4.59,1.21,0.21,0.11,0.1,0.02,0.43,71.24,78.36
Ralls County,29173,13.6,37.0,37.74,79.2,0.6,0.84,2.63,11.24,48.17,0.1,0.37,2.08,22.95,0.34,0.13,0.85,6.47,1.09,0.24,0.02,0.11,0.06,0.43,58.98,67.81
Randolph County,29175,14.77,40.02,40.62,76.33,0.74,0.93,3.1,15.5,57.46,0.12,0.55,3.49,39.98,0.45,0.21,0.98,5.27,1.46,0.24,0.05,0.07,0.05,0.41,73.27,81.39
Ray County,29177,14.36,38.5,41.19,76.66,0.69,1.04,3.1,14.14,57.32,0.14,0.73,3.73,36.85,0.41,0.22,0.9,5.47,1.2,0.27,0.11,0.16,0.03,0.56,73.22,81.35
Reynolds County,29179,15.75,41.34,42.82,75.41,0.98,1.36,3.93,15.95,57.95,0.12,0.49,3.34,37.25,0.48,0.25,1.1,4.89,1.18,0.32,0.02,0.11,0.02,0.47,88.15,95.8
Ripley County,29181,15.38,41.43,44.41,74.41,1.06,1.41,4.52,17.18,59.22,0.19,0.89,3.41,53.05,0.53,0.3,1.14,4.51,1.24,0.3,0.02,0.09,0.01,0.42,75.16,82.47
Saint Charles County,29183,12.95,36.94,35.28,80.46,0.45,0.62,1.75,9.07,48.69,0.12,0.42,2.61,27.29,0.32,0.12,0.7,5.77,0.74,0.19,0.01,0.16,0.02,0.38,42.61,50.19
Saint Clair County,29185,15.04,37.62,40.01,76.57,0.81,1.2,3.54,15.18,53.63,0.12,0.47,2.78,35.89,0.45,0.2,1.01,5.09,1.19,0.3,0.03,0.07,0.02,0.42,58.21,65.92
Sainte Genevieve County,29186,13.73,39.9,38.3,78.35,0.61,0.94,2.81,12.1,51.21,0.1,0.44,3.11,24.74,0.36,0.14,0.83,4.19,0.9,0.22,0.03,0.13,0.02,0.41,43.62,49.96
Saint Francois County,29187,15.1,39.93,41.47,74.72,0.8,1.2,3.88,17.5,61.03,0.14,0.8,3.9,26.75,0.5,0.36,1.02,6.02,1.18,0.26,0.01,0.14,0.03,0.45,80.03,88.69
Saint Louis County,29189,12.69,32.94,36.79,79.49,0.6,0.72,2.24,10.69,49.28,0.19,1.19,3.37,30.81,0.44,0.18,0.82,5.5,1.08,0.17,0.01,0.1,0.01,0.29,35.96,43.64
Saline County,29195,15.03,38.62,41.7,77.17,0.77,0.97,3.05,14.03,53.83,0.13,0.52,2.93,25.62,0.43,0.21,0.87,4.88,1.14,0.25,0.01,0.04,0.01,0.32,55.32,62.52
Schuyler County,29197,14.25,36.32,37.87,78.06,0.64,0.91,2.89,12.84,51.93,0.11,0.36,1.81,47.15,0.4,0.14,0.98,4.76,1.46,0.25,0.13,0.1,0.02,0.5,61.75,69.46
Scotland County,29199,13.57,38.34,39.91,78.07,0.66,0.93,2.94,12.81,51.2,0.11,0.34,1.88,50.48,0.4,0.12,0.94,4.38,1.14,0.26,0.07,0.12,0.03,0.48,61.09,68.03
Scott County,29201,15.35,41.29,41.02,75.7,0.89,1.12,3.71,15.92,57.0,0.17,0.73,2.59,36.55,0.49,0.2,1.06,6.44,1.47,0.27,0.05,0.08,0.02,0.41,74.84,84.22
Shannon County,29203,14.98,39.47,42.45,76.1,0.94,1.18,3.74,15.23,55.32,0.13,0.59,3.33,29.76,0.47,0.25,0.96,3.6,1.08,0.29,0.02,0.08,0.01,0.4,65.14,71.18
Shelby County,29205,13.84,35.66,37.35,77.96,0.62,0.84,2.87,12.88,53.28,0.1,0.39,1.89,30.5,0.37,0.12,0.79,4.27,1.09,0.25,0.03,0.08,0.03,0.39,54.89,61.43
Stoddard County,29207,14.37,41.15,40.77,76.32,0.77,1.05,3.52,15.17,55.66,0.14,0.6,3.05,29.16,0.44,0.2,1.01,5.08,1.03,0.26,0.01,0.09,0.01,0.38,84.32,91.82
Stone County,29209,13.69,38.12,35.19,78.64,0.72,1.02,3.01,11.54,49.19,0.16,0.72,2.88,23.18,0.43,0.31,0.8,5.42,0.78,0.26,0.07,0.16,0.02,0.51,47.52,55.04
Sullivan County,29211,15.15,36.77,38.69,76.83,0.7,1.04,3.39,14.81,55.15,0.15,0.59,2.28,36.46,0.44,0.22,0.88,4.32,1.29,0.22,0.03,0.07,0.02,0.33,66.72,73.54
Taney County,29213,14.24,36.42,35.19,78.06,0.7,0.98,3.18,12.67,50.55,0.14,0.63,3.1,28.6,0.47,0.24,0.85,4.9,0.88,0.25,0.06,0.14,0.02,0.47,47.89,54.99
Texas County,29215,15.3,38.21,41.49,77.16,0.78,1.04,3.42,13.94,53.05,0.15,0.76,3.17,43.42,0.49,0.22,0.97,4.22,1.15,0.26,0.01,0.07,0.01,0.36,60.4,67.1
Vernon County,29217,14.09,36.88,40.16,76.11,0.84,1.07,3.49,15.42,56.42,0.15,0.66,2.52,36.36,0.43,0.2,0.95,4.8,1.06,0.28,0.04,0.15,0.04,0.5,59.39,66.71
Warren County,29219,13.93,40.79,38.4,78.64,0.62,0.9,2.77,11.89,50.12,0.11,0.71,2.94,24.38,0.36,0.18,0.83,4.51,0.97,0.22,0.01,0.14,0.03,0.41,49.26,55.98
Washington County,29221,15.77,43.86,46.76,73.9,0.89,1.31,4.39,18.38,63.37,0.14,0.71,3.37,33.38,0.46,0.27,1.08,4.59,1.02,0.26,0.03,0.6,0.05,0.94,65.75,73.38
Wayne County,29223,15.31,41.04,43.44,74.38,1.07,1.42,4.47,17.05,59.88,0.13,0.58,3.09,41.36,0.51,0.27,1.16,4.96,1.27,0.28,0.02,0.13,0.02,0.44,96.15,103.99
Webster County,29225,14.22,38.28,38.5,77.75,0.71,0.98,2.83,12.61,53.68,0.14,0.74,3.43,30.57,0.44,0.24,0.9,5.16,1.13,0.26,0.01,0.07,0.01,0.35,65.88,73.41
Worth County,29227,13.65,37.88,37.42,78.7,0.59,0.81,2.74,12.21,49.81,0.11,0.48,1.82,20.8,0.34,0.14,0.84,4.69,1.25,0.21,0.03,0.09,0.01,0.33,54.42,61.53
Wright County,29229,15.24,40.08,43.95,75.92,0.91,1.23,3.6,15.81,56.46,0.14,0.61,3.17,30.57,0.48,0.24,1.04,4.93,1.26,0.31,0.03,0.2,0.03,0.57,76.59,84.39
Saint Louis City,29510,17.97,36.29,44.96,74.14,1.08,1.42,5.12,19.47,54.88,0.29,4.68,4.17,35.76,0.74,0.38,1.22,4.81,2.79,0.18,0.01,0.08,0.02,0.29,48.1,57.21
Beaverhead County,30001,11.06,30.89,30.76,79.97,0.52,0.73,2.36,10.42,46.65,0.08,0.23,1.27,17.08,0.28,0.16,1.0,5.0,1.42,0.27,0.02,0.45,0.09,0.84,57.0,65.26
Big Horn County,30003,17.62,37.79,48.66,73.62,1.09,1.9,5.2,18.21,59.07,0.45,0.5,1.86,36.53,0.63,0.15,1.02,10.78,1.68,0.25,0.07,0.1,0.01,0.43,68.68,82.58
Blaine County,30005,15.97,38.48,45.24,76.35,0.9,1.31,3.96,14.9,52.83,0.37,0.47,1.92,28.99,0.47,0.2,0.88,7.31,1.34,0.25,0.06,0.25,0.1,0.66,58.08,68.27
Broadwater County,30007,11.14,30.72,29.55,79.57,0.58,0.79,2.56,10.78,47.75,0.11,0.33,1.34,25.72,0.3,0.15,0.86,4.73,1.13,0.26,0.05,0.37,0.13,0.81,40.17,47.71
Carbon County,30009,10.99,34.12,32.07,80.36,0.63,0.9,2.44,9.78,44.17,0.08,0.22,1.22,19.68,0.28,0.14,0.9,5.53,1.04,0.23,0.26,0.38,0.03,0.91,46.63,55.01
Carter County,30011,12.36,36.12,36.54,79.49,0.64,0.83,2.77,11.08,46.55,0.08,0.22,1.15,21.02,0.29,0.09,0.78,3.82,1.3,0.27,0.08,0.12,0.03,0.49,61.23,67.62
Cascade County,30013,11.63,34.85,34.49,78.76,0.63,0.82,2.66,11.99,49.8,0.15,0.45,1.89,17.92,0.33,0.3,0.89,6.29,1.44,0.24,0.05,0.73,0.04,1.05,62.57,72.24
Chouteau County,30015,12.8,37.51,39.2,79.55,0.64,0.9,2.7,10.6,46.33,0.18,0.33,1.59,21.27,0.36,0.18,0.85,5.98,1.24,0.26,0.03,0.27,0.03,0.59,53.5,62.16
Custer County,30017,12.26,36.6,33.92,77.63,0.69,1.02,3.04,12.97,53.16,0.11,0.33,1.35,25.22,0.31,0.13,0.85,5.2,1.54,0.25,0.09,0.15,0.02,0.5,69.5,77.58
Daniels County,30019,12.04,31.27,30.32,79.14,0.74,0.98,2.8,11.41,46.49,0.09,0.32,1.17,25.27,0.31,0.12,0.81,4.77,1.69,0.25,0.03,0.16,0.02,0.46,50.76,58.5
Dawson County,30021,11.8,33.86,37.36,78.57,0.66,0.95,2.82,11.55,50.39,0.11,0.32,1.29,26.76,0.3,0.14,0.83,4.23,1.41,0.23,0.03,0.12,0.01,0.39,48.79,55.64
Deer Lodge County,30023,11.41,32.96,33.39,77.17,0.65,0.96,3.11,13.51,55.32,0.13,0.45,1.57,32.32,0.35,0.22,1.04,6.57,1.54,0.26,0.03,0.54,0.08,0.9,76.5,86.55
